ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603828.SH,20240102,3.83,3.93,3.83,3.88,3.82,0.06,1.5707,205038.23,79496.459
603828.SH,20240103,3.9,3.92,3.84,3.88,3.88,0.0,0.0,146731.0,56822.49
603828.SH,20240104,3.88,3.94,3.85,3.89,3.88,0.01,0.2577,107259.0,41625.366
603828.SH,20240105,3.89,3.9,3.83,3.85,3.89,-0.04,-1.0283,85078.55,32866.029
603828.SH,20240108,3.85,3.93,3.82,3.84,3.85,-0.01,-0.2597,107361.0,41418.0
603828.SH,20240109,3.82,3.89,3.82,3.84,3.84,0.0,0.0,137051.0,52810.183
603828.SH,20240110,3.88,3.89,3.78,3.82,3.84,-0.02,-0.5208,116287.0,44572.412
603828.SH,20240111,3.82,3.88,3.81,3.86,3.82,0.04,1.0471,102861.8,39535.829
603828.SH,20240112,3.86,4.19,3.85,3.94,3.86,0.08,2.0725,401880.0,160680.89
603828.SH,20240115,3.91,4.25,3.88,4.07,3.94,0.13,3.2995,681687.63,275137.821
603828.SH,20240116,4.01,4.18,3.95,4.04,4.07,-0.03,-0.7371,602400.52,243053.011
603828.SH,20240117,4.08,4.11,3.9,3.97,4.04,-0.07,-1.7327,365254.32,145101.364
603828.SH,20240118,3.9,3.97,3.73,3.87,3.97,-0.1,-2.5189,433204.78,166088.032
603828.SH,20240119,3.92,3.94,3.48,3.48,3.87,-0.39,-10.0775,418436.0,150712.862
603828.SH,20240122,3.43,3.59,3.24,3.25,3.48,-0.23,-6.6092,338136.5,116895.907
603828.SH,20240123,3.19,3.28,3.14,3.19,3.25,-0.06,-1.8462,216216.0,69042.182
603828.SH,20240124,3.22,3.32,3.14,3.32,3.19,0.13,4.0752,181007.0,58722.06
603828.SH,20240125,3.35,3.51,3.32,3.5,3.32,0.18,5.4217,202665.0,69787.897
603828.SH,20240126,3.5,3.66,3.48,3.58,3.5,0.08,2.2857,167315.53,60117.648
603828.SH,20240129,3.58,3.61,3.34,3.38,3.58,-0.2,-5.5866,149350.0,51307.381
603828.SH,20240130,3.33,3.39,3.19,3.22,3.38,-0.16,-4.7337,137020.0,45012.235
603828.SH,20240131,3.21,3.29,2.95,2.98,3.22,-0.24,-7.4534,164822.0,50793.487
603828.SH,20240201,2.96,2.99,2.79,2.86,2.98,-0.12,-4.0268,186038.16,53358.646
603828.SH,20240202,2.85,2.92,2.58,2.68,2.86,-0.18,-6.2937,207665.0,57552.74
603828.SH,20240205,2.62,2.64,2.41,2.41,2.68,-0.27,-10.0746,192440.0,46914.821
603828.SH,20240206,2.22,2.29,2.17,2.17,2.41,-0.24,-9.9585,302288.09,66265.642
