ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600558.SH,20240102,4.07,4.43,4.06,4.3,4.07,0.23,5.6511,365707.83,156697.391
600558.SH,20240103,4.27,4.3,4.13,4.17,4.3,-0.13,-3.0233,332367.0,139396.341
600558.SH,20240104,4.18,4.25,4.13,4.19,4.17,0.02,0.4796,220541.87,92693.789
600558.SH,20240105,4.2,4.29,4.12,4.2,4.19,0.01,0.2387,276780.25,115845.271
600558.SH,20240108,4.19,4.2,4.09,4.12,4.2,-0.08,-1.9048,224976.0,92676.56
600558.SH,20240109,4.08,4.23,4.08,4.21,4.12,0.09,2.1845,255488.9,106804.468
600558.SH,20240110,4.21,4.27,4.14,4.2,4.21,-0.01,-0.2375,254551.84,107378.21
600558.SH,20240111,4.15,4.42,4.15,4.3,4.2,0.1,2.381,333333.93,143252.063
600558.SH,20240112,4.29,4.33,4.22,4.26,4.3,-0.04,-0.9302,184798.59,78821.352
600558.SH,20240115,4.22,4.35,4.22,4.24,4.26,-0.02,-0.4695,164712.0,70297.06
600558.SH,20240116,4.25,4.28,4.07,4.18,4.24,-0.06,-1.4151,207865.0,86509.335
600558.SH,20240117,4.17,4.22,4.04,4.06,4.18,-0.12,-2.8708,162974.03,67187.828
600558.SH,20240118,4.02,4.08,3.8,4.05,4.06,-0.01,-0.2463,310640.84,122376.936
600558.SH,20240119,4.04,4.05,3.89,3.91,4.05,-0.14,-3.4568,121967.61,48130.471
600558.SH,20240122,3.91,3.93,3.67,3.69,3.91,-0.22,-5.6266,155896.45,59108.946
600558.SH,20240123,3.68,3.87,3.56,3.74,3.69,0.05,1.355,176433.21,64627.689
600558.SH,20240124,3.73,3.82,3.62,3.75,3.74,0.01,0.2674,123603.5,45960.455
600558.SH,20240125,3.76,3.91,3.72,3.89,3.75,0.14,3.7333,198272.0,76283.685
600558.SH,20240126,3.87,3.98,3.86,3.93,3.89,0.04,1.0283,144392.27,56748.154
600558.SH,20240129,3.93,4.06,3.87,3.88,3.93,-0.05,-1.2723,194008.5,76715.168
600558.SH,20240130,3.86,3.95,3.7,3.72,3.88,-0.16,-4.1237,144166.5,54917.272
600558.SH,20240131,3.75,3.84,3.5,3.53,3.72,-0.19,-5.1075,211999.93,76785.347
600558.SH,20240201,3.58,3.6,3.36,3.46,3.53,-0.07,-1.983,230396.5,80148.323
600558.SH,20240202,3.46,3.57,3.4,3.49,3.46,0.03,0.8671,213590.93,74134.181
600558.SH,20240205,3.49,3.49,3.14,3.14,3.49,-0.35,-10.0287,278698.0,89383.308
600558.SH,20240206,3.11,3.29,2.9,3.18,3.14,0.04,1.2739,268540.71,81643.525
600558.SH,20240207,3.2,3.2,3.0,3.09,3.18,-0.09,-2.8302,220244.51,67630.732
600558.SH,20240208,3.1,3.35,3.03,3.31,3.09,0.22,7.1197,176833.37,56770.502
600558.SH,20240219,3.39,3.51,3.33,3.49,3.31,0.18,5.4381,166855.0,57388.089
600558.SH,20240220,3.45,3.53,3.41,3.52,3.49,0.03,0.8596,85758.87,30045.341
600558.SH,20240221,3.51,3.73,3.5,3.6,3.52,0.08,2.2727,153441.75,55964.338
600558.SH,20240222,3.59,3.68,3.57,3.62,3.6,0.02,0.5556,93190.5,33659.357
600558.SH,20240223,3.65,3.72,3.62,3.71,3.62,0.09,2.4862,120758.96,44511.05
600558.SH,20240226,3.71,3.82,3.71,3.78,3.71,0.07,1.8868,145563.75,54903.534
600558.SH,20240227,3.8,3.87,3.77,3.81,3.78,0.03,0.7937,91758.0,35023.708
600558.SH,20240228,3.83,3.84,3.58,3.59,3.81,-0.22,-5.7743,180045.56,66706.112
600558.SH,20240229,3.53,3.7,3.52,3.69,3.59,0.1,2.7855,109444.5,39924.255
600558.SH,20240301,3.74,3.78,3.65,3.68,3.69,-0.01,-0.271,133900.58,49455.191
600558.SH,20240304,3.69,3.83,3.69,3.82,3.68,0.14,3.8043,240202.75,90745.026
600558.SH,20240305,3.81,3.83,3.64,3.69,3.82,-0.13,-3.4031,190052.5,70771.944
600558.SH,20240306,3.61,3.82,3.61,3.71,3.69,0.02,0.542,106358.03,39620.167
600558.SH,20240307,3.71,3.76,3.69,3.71,3.71,0.0,0.0,79686.15,29729.431
600558.SH,20240308,3.73,3.78,3.67,3.76,3.71,0.05,1.3477,87329.0,32565.672
600558.SH,20240311,3.79,3.8,3.73,3.76,3.76,0.0,0.0,98711.84,37090.65
600558.SH,20240312,3.76,3.79,3.69,3.71,3.76,-0.05,-1.3298,137645.74,51260.523
600558.SH,20240313,3.71,3.73,3.65,3.71,3.71,0.0,0.0,124371.0,45850.661
600558.SH,20240314,3.72,3.78,3.68,3.73,3.71,0.02,0.5391,126321.5,47075.498
600558.SH,20240315,3.68,3.77,3.68,3.76,3.73,0.03,0.8043,117122.5,43774.296
600558.SH,20240318,3.76,3.8,3.75,3.78,3.76,0.02,0.5319,107129.0,40394.46
600558.SH,20240319,3.78,3.83,3.72,3.77,3.78,-0.01,-0.2646,130205.0,49327.637
600558.SH,20240320,3.77,3.82,3.75,3.78,3.77,0.01,0.2653,100851.0,38130.935
600558.SH,20240321,3.8,4.06,3.77,4.0,3.78,0.22,5.8201,364762.78,142848.965
600558.SH,20240322,3.97,3.98,3.8,3.86,4.0,-0.14,-3.5,279545.88,107876.33
600558.SH,20240325,3.87,4.13,3.85,4.02,3.86,0.16,4.1451,411231.77,164560.332
600558.SH,20240326,3.98,4.24,3.88,4.15,4.02,0.13,3.2338,517028.67,210580.894
600558.SH,20240327,4.11,4.22,4.06,4.1,4.15,-0.05,-1.2048,348310.46,143836.613
600558.SH,20240328,4.07,4.15,4.06,4.09,4.1,-0.01,-0.2439,248500.31,102032.621
