ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603188.SH,20240102,4.22,4.38,4.21,4.36,4.23,0.13,3.0733,381519.94,163982.503
603188.SH,20240103,4.32,4.33,4.22,4.26,4.36,-0.1,-2.2936,206636.0,87949.95
603188.SH,20240104,4.23,4.29,4.18,4.27,4.26,0.01,0.2347,166225.0,70401.16
603188.SH,20240105,4.25,4.26,4.11,4.14,4.27,-0.13,-3.0445,225257.0,93872.615
603188.SH,20240108,4.16,4.19,4.03,4.06,4.14,-0.08,-1.9324,151164.0,62012.464
603188.SH,20240109,4.06,4.13,4.01,4.06,4.06,0.0,0.0,107180.0,43601.669
603188.SH,20240110,4.09,4.09,3.98,4.0,4.06,-0.06,-1.4778,93872.0,37858.245
603188.SH,20240111,4.05,4.12,4.03,4.1,4.0,0.1,2.5,100308.0,40955.955
603188.SH,20240112,4.1,4.14,4.03,4.05,4.1,-0.05,-1.2195,95300.01,38897.735
603188.SH,20240115,4.03,4.13,4.01,4.08,4.05,0.03,0.7407,69812.0,28512.351
603188.SH,20240116,4.1,4.15,4.01,4.06,4.08,-0.02,-0.4902,109344.0,44574.434
603188.SH,20240117,4.07,4.11,3.93,3.95,4.06,-0.11,-2.7094,115521.0,46460.335
603188.SH,20240118,3.95,3.98,3.74,3.83,3.95,-0.12,-3.038,148406.0,56969.405
603188.SH,20240119,3.8,3.87,3.71,3.71,3.83,-0.12,-3.1332,95363.01,36080.84
603188.SH,20240122,3.71,3.73,3.39,3.41,3.71,-0.3,-8.0863,142053.03,50732.943
603188.SH,20240123,3.38,3.45,3.26,3.36,3.41,-0.05,-1.4663,155865.33,51762.042
603188.SH,20240124,3.34,3.46,3.24,3.4,3.36,0.04,1.1905,126620.17,42574.318
603188.SH,20240125,3.39,3.52,3.37,3.5,3.4,0.1,2.9412,107603.0,37049.828
603188.SH,20240126,3.47,3.64,3.47,3.55,3.5,0.05,1.4286,99531.17,35694.228
603188.SH,20240129,3.57,3.57,3.43,3.44,3.55,-0.11,-3.0986,95016.0,33095.639
603188.SH,20240130,3.41,3.45,3.27,3.28,3.44,-0.16,-4.6512,89341.0,29955.333
603188.SH,20240131,3.29,3.33,3.06,3.06,3.28,-0.22,-6.7073,117021.26,37364.023
603188.SH,20240201,3.04,3.09,2.9,2.97,3.06,-0.09,-2.9412,105885.0,31569.416
603188.SH,20240202,3.0,3.06,2.68,2.8,2.97,-0.17,-5.7239,148844.0,42777.291
603188.SH,20240205,2.76,2.77,2.52,2.52,2.8,-0.28,-10.0,58068.0,14881.065
603188.SH,20240206,2.27,2.39,2.27,2.27,2.52,-0.25,-9.9206,212137.0,48665.343
603188.SH,20240207,2.28,2.33,2.04,2.04,2.27,-0.23,-10.1322,184821.0,38239.907
603188.SH,20240208,1.88,2.13,1.84,2.11,2.04,0.07,3.4314,296685.33,57222.491
603188.SH,20240219,2.11,2.25,2.09,2.22,2.11,0.11,5.2133,188705.18,41313.854
603188.SH,20240220,2.21,2.39,2.19,2.38,2.22,0.16,7.2072,156635.21,36031.291
603188.SH,20240221,2.35,2.61,2.33,2.52,2.38,0.14,5.8824,171744.31,43058.146
603188.SH,20240222,2.54,2.59,2.47,2.57,2.52,0.05,1.9841,99271.0,25111.874
603188.SH,20240223,2.56,2.77,2.56,2.74,2.57,0.17,6.6148,125116.0,33142.06
603188.SH,20240226,2.75,2.84,2.67,2.73,2.74,-0.01,-0.365,113038.36,31283.895
603188.SH,20240227,2.72,2.81,2.69,2.8,2.73,0.07,2.5641,117879.0,32591.259
603188.SH,20240228,2.83,2.98,2.53,2.55,2.8,-0.25,-8.9286,223843.83,61878.673
603188.SH,20240229,2.56,2.67,2.48,2.63,2.55,0.08,3.1373,134398.83,34950.094
603188.SH,20240301,2.66,2.72,2.58,2.69,2.63,0.06,2.2814,108632.83,28829.782
603188.SH,20240304,2.67,2.78,2.6,2.66,2.69,-0.03,-1.1152,78072.0,20742.316
603188.SH,20240305,2.63,2.64,2.51,2.52,2.66,-0.14,-5.2632,90766.0,23212.849
603188.SH,20240306,2.54,2.62,2.5,2.58,2.52,0.06,2.381,77990.0,20049.868
603188.SH,20240307,2.59,2.68,2.56,2.61,2.58,0.03,1.1628,72959.0,19168.806
603188.SH,20240308,2.65,2.66,2.54,2.62,2.61,0.01,0.3831,51198.0,13265.041
603188.SH,20240311,2.62,2.68,2.59,2.68,2.62,0.06,2.2901,61121.0,16098.652
603188.SH,20240312,2.68,2.75,2.63,2.75,2.68,0.07,2.6119,88551.0,23897.788
603188.SH,20240313,2.76,2.78,2.66,2.7,2.75,-0.05,-1.8182,73220.0,19797.432
603188.SH,20240314,2.7,2.74,2.64,2.7,2.7,0.0,0.0,76500.0,20610.865
603188.SH,20240315,2.68,2.79,2.67,2.79,2.7,0.09,3.3333,85223.0,23372.004
603188.SH,20240318,2.81,2.85,2.79,2.83,2.79,0.04,1.4337,71687.76,20220.631
603188.SH,20240319,2.82,2.88,2.82,2.83,2.83,0.0,0.0,52589.0,14951.153
603188.SH,20240320,2.84,2.92,2.83,2.92,2.83,0.09,3.1802,77425.0,22349.66
603188.SH,20240321,2.92,2.95,2.85,2.91,2.92,-0.01,-0.3425,72623.0,21047.4
603188.SH,20240322,2.93,2.95,2.83,2.86,2.91,-0.05,-1.7182,81914.0,23564.234
603188.SH,20240325,2.85,2.9,2.79,2.82,2.86,-0.04,-1.3986,74189.0,21057.406
603188.SH,20240326,2.8,2.84,2.75,2.82,2.82,0.0,0.0,81499.0,22796.337
603188.SH,20240327,2.82,2.85,2.71,2.73,2.82,-0.09,-3.1915,73432.0,20406.048
603188.SH,20240328,2.72,2.85,2.72,2.79,2.73,0.06,2.1978,84520.85,23575.846
603188.SH,20240329,2.79,2.84,2.78,2.81,2.79,0.02,0.7168,69936.0,19641.887
603188.SH,20240401,2.83,3.09,2.82,3.09,2.81,0.28,9.9644,69301.78,20859.183
603188.SH,20240402,3.4,3.4,3.4,3.4,3.09,0.31,10.0324,67921.0,23093.14
603188.SH,20240403,3.72,3.72,3.1,3.25,3.4,-0.15,-4.4118,637527.7,218356.305
603188.SH,20240408,2.98,3.09,2.93,2.93,3.25,-0.32,-9.8462,360333.0,106841.964
603188.SH,20240409,2.85,2.96,2.79,2.88,2.93,-0.05,-1.7065,275720.3,79669.295
603188.SH,20240410,2.93,3.1,2.75,2.79,2.88,-0.09,-3.125,236537.72,67735.857
603188.SH,20240411,2.73,2.87,2.7,2.76,2.79,-0.03,-1.0753,152188.0,42467.632
603188.SH,20240412,2.76,2.91,2.76,2.85,2.76,0.09,3.2609,158225.84,44856.221
603188.SH,20240415,2.8,2.84,2.57,2.57,2.85,-0.28,-9.8246,145032.0,37961.979
603188.SH,20240416,2.39,2.44,2.31,2.31,2.57,-0.26,-10.1167,50212.0,11719.973
603188.SH,20240417,2.29,2.43,2.22,2.38,2.31,0.07,3.0303,161117.03,38099.465
603188.SH,20240418,2.38,2.41,2.24,2.32,2.38,-0.06,-2.521,116121.0,26877.874
603188.SH,20240419,2.33,2.34,2.23,2.25,2.32,-0.07,-3.0172,75210.0,17100.627
603188.SH,20240422,2.25,2.27,2.14,2.17,2.25,-0.08,-3.5556,83895.0,18295.368
603188.SH,20240423,2.19,2.39,2.18,2.39,2.17,0.22,10.1382,68167.0,15859.993
603188.SH,20240424,2.39,2.47,2.32,2.35,2.39,-0.04,-1.6736,157695.0,37492.016
603188.SH,20240425,2.35,2.59,2.32,2.59,2.35,0.24,10.2128,131920.0,32516.254
603188.SH,20240426,2.67,2.85,2.55,2.85,2.59,0.26,10.0386,252231.5,69112.303
603188.SH,20240429,2.63,2.78,2.57,2.71,2.85,-0.14,-4.9123,330802.0,89307.388
603188.SH,20240430,2.7,2.98,2.7,2.87,2.71,0.16,5.9041,448888.0,130141.275
603188.SH,20240506,2.8,3.1,2.77,2.98,2.87,0.11,3.8328,420510.7,122367.453
603188.SH,20240507,2.95,3.28,2.92,3.28,2.98,0.3,10.0671,395198.97,121490.592
603188.SH,20240508,3.29,3.61,3.13,3.25,3.28,-0.03,-0.9146,654400.97,219309.384
603188.SH,20240509,3.13,3.18,2.99,3.03,3.25,-0.22,-6.7692,449126.8,137299.158
603188.SH,20240510,3.04,3.08,2.92,2.94,3.03,-0.09,-2.9703,265675.8,78771.895
603188.SH,20240513,2.9,2.93,2.77,2.81,2.94,-0.13,-4.4218,198718.8,55985.106
603188.SH,20240514,2.85,2.92,2.81,2.84,2.81,0.03,1.0676,154143.0,44022.879
603188.SH,20240515,2.81,2.9,2.77,2.86,2.84,0.02,0.7042,136354.0,38870.582
603188.SH,20240516,2.85,2.94,2.84,2.85,2.86,-0.01,-0.3497,141033.0,40750.508
603188.SH,20240517,2.87,2.94,2.83,2.94,2.85,0.09,3.1579,146265.0,42408.022
