ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000825.SZ,20240102,3.73,3.8,3.72,3.77,3.73,0.04,1.0724,199938.54,75219.728
000825.SZ,20240103,3.76,3.84,3.75,3.83,3.77,0.06,1.5915,213597.42,81353.414
000825.SZ,20240104,3.82,3.86,3.81,3.84,3.83,0.01,0.2611,198925.32,76198.465
000825.SZ,20240105,3.83,3.89,3.81,3.84,3.84,0.0,0.0,233708.01,90164.136
000825.SZ,20240108,3.83,3.84,3.75,3.75,3.84,-0.09,-2.3438,175388.4,66379.147
000825.SZ,20240109,3.76,3.81,3.72,3.77,3.75,0.02,0.5333,124445.51,46917.44
000825.SZ,20240110,3.77,3.79,3.74,3.75,3.77,-0.02,-0.5305,111473.23,41867.927
000825.SZ,20240111,3.75,3.78,3.71,3.74,3.75,-0.01,-0.2667,146000.31,54704.632
000825.SZ,20240112,3.74,3.79,3.74,3.75,3.74,0.01,0.2674,137013.66,51630.999
000825.SZ,20240115,3.74,3.76,3.72,3.73,3.75,-0.02,-0.5333,105378.3,39372.462
000825.SZ,20240116,3.73,3.74,3.68,3.72,3.73,-0.01,-0.2681,140003.15,51890.164
000825.SZ,20240117,3.72,3.73,3.64,3.64,3.72,-0.08,-2.1505,173539.31,63970.641
000825.SZ,20240118,3.63,3.64,3.46,3.56,3.64,-0.08,-2.1978,362037.32,127767.271
000825.SZ,20240119,3.57,3.62,3.53,3.58,3.56,0.02,0.5618,198674.05,71307.283
000825.SZ,20240122,3.61,3.62,3.4,3.42,3.58,-0.16,-4.4693,239313.27,83701.882
000825.SZ,20240123,3.43,3.48,3.35,3.46,3.42,0.04,1.1696,202070.08,69164.111
000825.SZ,20240124,3.47,3.55,3.41,3.55,3.46,0.09,2.6012,203193.5,70897.661
000825.SZ,20240125,3.56,3.7,3.54,3.7,3.55,0.15,4.2254,279785.98,102059.252
000825.SZ,20240126,3.71,3.79,3.69,3.77,3.7,0.07,1.8919,246614.74,92593.591
000825.SZ,20240129,3.79,3.82,3.76,3.78,3.77,0.01,0.2653,261834.5,99175.355
000825.SZ,20240130,3.78,3.8,3.68,3.7,3.78,-0.08,-2.1164,198002.96,74351.161
000825.SZ,20240131,3.63,3.71,3.55,3.57,3.7,-0.13,-3.5135,343409.95,124210.13
000825.SZ,20240201,3.55,3.6,3.48,3.52,3.57,-0.05,-1.4006,264143.19,93592.5
000825.SZ,20240202,3.52,3.61,3.36,3.45,3.52,-0.07,-1.9886,335039.0,117148.104
000825.SZ,20240205,3.45,3.46,3.27,3.34,3.45,-0.11,-3.1884,432551.0,145427.192
000825.SZ,20240206,3.32,3.66,3.29,3.64,3.34,0.3,8.982,489331.71,171830.701
000825.SZ,20240207,3.61,3.86,3.6,3.86,3.64,0.22,6.044,624874.36,236181.135
000825.SZ,20240208,3.85,4.04,3.82,3.87,3.86,0.01,0.2591,630640.85,249354.749
000825.SZ,20240219,3.9,3.91,3.8,3.83,3.87,-0.04,-1.0336,367404.36,141115.246
000825.SZ,20240220,3.82,3.86,3.77,3.82,3.83,-0.01,-0.2611,235887.64,90158.721
000825.SZ,20240221,3.82,3.88,3.79,3.81,3.82,-0.01,-0.2618,271511.7,104132.105
000825.SZ,20240222,3.8,3.84,3.78,3.81,3.81,0.0,0.0,241908.46,92191.595
000825.SZ,20240223,3.83,3.83,3.76,3.78,3.81,-0.03,-0.7874,314405.6,118870.954
000825.SZ,20240226,3.78,3.79,3.72,3.72,3.78,-0.06,-1.5873,306991.56,115065.248
000825.SZ,20240227,3.72,3.76,3.7,3.75,3.72,0.03,0.8065,247833.85,92565.543
000825.SZ,20240228,3.75,3.81,3.73,3.73,3.75,-0.02,-0.5333,392713.07,148396.073
000825.SZ,20240229,3.73,3.79,3.71,3.79,3.73,0.06,1.6086,341002.13,127978.594
000825.SZ,20240301,3.78,3.81,3.73,3.76,3.79,-0.03,-0.7916,228271.1,85904.438
000825.SZ,20240304,3.75,3.76,3.67,3.69,3.76,-0.07,-1.8617,245560.96,90863.074
000825.SZ,20240305,3.67,3.68,3.63,3.65,3.69,-0.04,-1.084,224752.51,82038.466
000825.SZ,20240306,3.66,3.73,3.64,3.7,3.65,0.05,1.3699,244537.0,90214.015
000825.SZ,20240307,3.7,3.85,3.7,3.76,3.7,0.06,1.6216,426190.73,161694.296
000825.SZ,20240308,3.77,3.79,3.71,3.76,3.76,0.0,0.0,254478.5,95121.22
